Title,Location,Date,Price,description
1 Bedroom - 50 Rosehill Ave,City of Toronto 02/04/2022,02/04/2022,"$1,975.00","This prime location offers easy access to downtown Toronto via public transportation of bus, trolley car and subway. One-Bedroom available May and June Monthly rent from $1,975 - $2075 plus ...
Excellent Yonge & St. Clair Location!"
1+Den – Condo-style suites w/ in-suite laundry & A/C-Call Today!,Mississauga / Peel Region < 11 hours ago,< 11 hours ago,"$1,849.00","Hazelview has expanded and transformed this vibrant community with this 4-storey rental, where you can live and play. Designed with spacious and modern details featuring luxurious finishes, open ..."
York University Village Rooms(FEMALE ONLY DUE to shared areas),Toronto < 8 hours ago,< 8 hours ago,$650.00,"AVAILABLE from May 1st, 2022, a 12-month lease is preferred. Gorgeous house to Live, SAFELY and CONVENIENTLY. 1. SECURITY CAMERAS installed at front and back doors for your safety. 2. DIGITAL KEYPAD ..."
Private Underground Parking- DOWNTOWN,City of Toronto 02/04/2022,02/04/2022,$175.00,"PRIVATE UNDERGROUND PARKING FOR RENT!!! Located at Wellesley st and Church st. Have guaranteed parking every day, cheaper than private lots and Green P. Park in a safe location and walk or take the ..."
Fully Furnished Office Prices Starting at $700,Markham / York Region 30/03/2022,30/03/2022,$850.00,"Looking for the perfect place to grow your business? Tired of unwanted distractions constantly getting in the way of your work? Need a command center where you can EXCLUSIVELY focus on your work? ...
Virtual Offices | Meeting Rooms | Furnished Offices | Private | office | coworking | workspcae | office space | Mississauga | GTA | Meeting room | month to month | Board Room for rent | Business Address | Phone Answering | Office Lease |"
Furnished Condo at Front & Bathurst - Bachelor with Patio Space,Toronto < 1 minute ago,< 1 minute ago,"$2,250.00","Hello, We are searching for a tenant for our condo located at Front and Bathurst. It currently is furnished, though we would be open to offering it for rent unfurnished. Ideally, we would like a long ..."
"Basement Apartment for Rent near Yonge, Richmond Hill",Richmond Hill < 1 minute ago,< 1 minute ago,"$1,400.00","Nice One Bedroom + Den Basement apartment for rent from April 10, 2022 With separate entrance Utilities Included Great opportunity to stay in a very desirable neighborhood near Yonge and Weldrick ..."
Basement for Rent in Brampton,Brampton < 2 minutes ago,< 2 minutes ago,"$1,700.00",Fully furnished 3 bedroom basement near sunny meadow and Peter Robertson available from may 2022. Family and girls students preference for more information call 4168753930 Guri dhaliwal and text ...
1 bedroom basement available for rent (GIRLS ONLY),Brampton < 4 minutes ago,< 4 minutes ago,"$1,000.00",For 2 girls the rent will be $1000 a month ($500 each) (maximum number of girls allowed: 2 ) - Intersection: Sandalwood & Fernforest - Internet included - 1 Bedroom -1 Full bathroom - Kitchen -No ...
